record_id,ao_locus_tag,subsystem,subsystem_source,subsystem_confidence,subsystem_rationale,relationship_type
AOR00217,AO090003000947,erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00225,AO090003000397,erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00231,AO090005001643,golgi_processing,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00233,AO090003000842,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00234,AO090003000853,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00235,AO090038000586,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00238,AO090010000771,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00239,AO090012000838,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00240,AO090023000986,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00242,AO090701000006,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00243,AO090701000149,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00244,AO090026000347,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00245,AO090005000718,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00246,,snare,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00247,AO090026000599,copi,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00248,AO090701000139,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00249,AO090005000760,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00250,AO090003000403,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00251,AO090038000308,copi,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00252,AO090011000577,copi,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00253,AO090012000556,copi,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00254,AO090003000913,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00255,AO090026000337,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00256,AO090206000003,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00257,AO090012000630,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00258,AO090003001162,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00259,AO090701000730,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00260,AO090026000361,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00261,AO090005001238,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00262,AO090005000120,tc,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00263,AO090103000044,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00264,AO090005000435,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00265,AO090701000291,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00267,AO090701000719,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00268,AO090020000134,snare,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00270,AO090005001279,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00271,AO090038000454,tc,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",primary
AOR00272,AO090003001273,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00273,AO090003000363,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00278,AO090009000654,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00279,AO090012000430,snare,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00280,AO090023000164,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00281,AO090005000615,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00282,AO090102000523,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00284,AO090005000980,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00285,AO090701000163,tc,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00286,AO090011000933,tc,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00287,AO090011000469,tc,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00288,AO090120000351,tc,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00289,AO090102000593,tc,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00290,AO090003000956,tc,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00291,AO090003001205,tc,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00292,AO090012000995,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00293,AO090011000513,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00294,AO090103000007,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00295,AO090113000129,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00296,AO090010000311,snare,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00297,AO090005001482,golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00298,AO090038000562,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00299,AO090103000069,er_glycosylation,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00301,AO090020000592,hdsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00302,AO090023000690,er_glycosylation,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00303,AO090012000240,snare,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",primary
AOR00305,AO090120000250,gpi_biosynthesis,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",primary
AOR00306,AO090102000487,snare,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00307,AO090003001228,snare,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00309,AO090012000873,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00311,AO090011000833,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00312,AO090120000403,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00313,AO090701000012,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00318,AO090012000248,erad,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00319,AO090701000588,erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00320,AO090102000609,erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00321,AO090103000399,hdsv,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00323,AO090011000379,erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00324,AO090005000853,erad,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,primary
AOR00325,AO090023000839,folding,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",primary
AOR00326,AO090011000678,snare,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00328,AO090026000428,folding,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",primary
AOR00331,AO090023000864,alp_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00332,AO090026000605,snare,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00333,AO090011000398,hdsv,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00334,AO090102000348,hdsv,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00335,AO090113000006,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00336,AO090701000263,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00338,AO090012000925,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00339,AO090026000225,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00340,AO090003000586,cpy_pathway,current_annotation,medium,Specific current database function annotation.,primary
AOR00341,AO090005001298,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00342,AO090003000675,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00343,AO090701000053,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00344,AO090009000311,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00345,AO090003000939,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00347,AO090003000972,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00351,AO090003001144,snare,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00352,AO090020000468,er_glycosylation,liu2014_description+uniprot+kegg_ko,high,"WBP1 is the ER oligosaccharyltransferase beta subunit (KO K12670), making N-glycan transfer its most specific function.",primary
AOR00354,AO090003000801,folding,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",primary
AOR00355,AO090003000506,folding,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",primary
AOR00356,AO090701000164,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00357,AO090003000038,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00358,AO090023000584,snare,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00359,AO090009000178,erad,aspergillus_homolog+uniprot+yeast_ortholog+kegg_ko,medium,The A. oryzae protein is a class I alpha-mannosidase (KO K01230); its MNL2 ortholog is ER-localized and functions in ERAD quality control.,primary
AOR00360,AO090005000158,putative_mitochondria_protein,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00362,AO090023000334,erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00363,AO090102000638,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,primary
AOR00364,AO090005000880,copi,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00368,AO090005000965,mitochondrial_m_aaa_protease,liu2014,high,Verified Liu 2014 Table S1 subsystem.,primary
AOR00017,AO090012000213,erad,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00041,AO090005000437,snare,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00064,AO090701000141,folding,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00132,AO090023000840,folding,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00147,AO090003000257,erad,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00165,AO090003001225,folding,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00234,AO090003000853,erad,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00245,AO090005000718,hdsv,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00245,AO090005000718,ldsv,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00245,AO090005000718,cpy_pathway,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00245,AO090005000718,alp_pathway,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00248,AO090701000139,snare,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00331,AO090023000864,snare,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00352,AO090020000468,folding,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
AOR00359,AO090009000178,er_glycosylation,liu2014_composite_or_functional_context,medium,Secondary role explicitly present in Liu's composite description or supported by reviewed functional context.,secondary
