original_id,proposed_current_id,verified_current_id,mapping_method,supporting_sources,source_agreement,alternative_candidates,audit_status,audit_notes,manual_review_required
AO090026000526,AO090026000526,AO090026000526,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5993992; RefSeq transcript:XM_001821912.3; RefSeq protein:XP_001821964.3; KEGG:aor:AO090026000526; KEGG->GeneID:5993992; KEGG->UniProt:Q2UEQ3; UniProt:Q2UEQ3,False
AO090102000146,AO090102000146,AO090102000146,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994423; RefSeq transcript:XM_001822326.1; RefSeq protein:XP_001822378.1; KEGG:aor:AO090102000146; KEGG->GeneID:5994423; KEGG->UniProt:Q2UB20; UniProt:Q2UB20,False
AO090012000489,AO090012000489,AO090012000489,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5987972; RefSeq transcript:XM_001727446.3; RefSeq protein:XP_001727498.1; KEGG:aor:AO090012000489; KEGG->GeneID:5987972; KEGG->UniProt:Q2UCQ6; UniProt:Q2UCQ6,False
AO090005001458,AO090005001458,AO090005001458,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990326; RefSeq transcript:XM_001818329.3; RefSeq protein:XP_001818381.1; KEGG:aor:AO090005001458; KEGG->GeneID:5990326; KEGG->UniProt:Q2UPY6; UniProt:Q2UPY6,False
AO090023000901,AO090023000901,AO090023000901,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5993402; RefSeq transcript:XM_001821348.3; RefSeq protein:XP_001821400.1; KEGG:aor:AO090023000901; KEGG->GeneID:5993402; KEGG->UniProt:Q2UGB7; UniProt:Q2UGB7,False
AO090012000213,AO090012000213,AO090012000213,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5987741; RefSeq transcript:XM_023236377.1; RefSeq protein:XP_023091308.1; KEGG:aor:AO090012000213; KEGG->GeneID:5987741; KEGG->UniProt:Q2UDD7; UniProt:Q2UDD7,False
AO090005001357,AO090005001357,AO090005001357,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990231; RefSeq transcript:XM_001818234.3; RefSeq protein:XP_001818286.1; KEGG:aor:AO090005001357; KEGG->GeneID:5990231; KEGG->UniProt:Q2UQ81; UniProt:Q2UQ81,False
AO090206000061,AO090206000061,AO090206000061,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5998681; RefSeq transcript:XM_023233209.1; RefSeq protein:XP_023093737.1; KEGG:aor:AO090206000061; KEGG->GeneID:5998681; KEGG->UniProt:Q2PIU2; UniProt:Q2PIU2,False
AO090009000481,AO090009000481,AO090009000481,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988867; RefSeq transcript:XM_001816885.3; RefSeq protein:XP_001816937.1; KEGG:aor:AO090009000481; KEGG->GeneID:5988867; KEGG->UniProt:Q2UU30; UniProt:Q2UU30,False
AO090673000002,AO090673000002,AO090673000002,unchanged/exact identifier,NCBI RefSeq; KEGG,all available sources agree,,confirmed,NCBI GeneID:5994297; RefSeq transcript:XM_001822193.3; RefSeq protein:XP_001822245.3; KEGG:aor:AO090673000002; KEGG->GeneID:5994297,False
AO090026000703,AO090026000703,AO090026000703,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994144; RefSeq transcript:XM_001822064.1; RefSeq protein:XP_001822116.1; KEGG:aor:AO090026000703; KEGG->GeneID:5994144; KEGG->UniProt:Q2UEA1; UniProt:Q2UEA1,False
AO090020000601,AO090020000601,AO090020000601,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996978; RefSeq transcript:XM_023237923.1; RefSeq protein:XP_023092910.1; KEGG:aor:AO090020000601; KEGG->GeneID:5996978; KEGG->UniProt:Q2U3V6; UniProt:Q2U3V6,False
AO090009000223,AO090009000223,AO090009000223,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988644; RefSeq transcript:XM_001816662.3; RefSeq protein:XP_001816714.3; KEGG:aor:AO090009000223; KEGG->GeneID:5988644; KEGG->UniProt:Q2UUQ3; UniProt:Q2UUQ3,False
AO090003000425,AO090003000425,AO090003000425,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5991590; RefSeq transcript:XM_001819555.3; RefSeq protein:XP_001819607.1; KEGG:aor:AO090003000425; KEGG->GeneID:5991590; KEGG->UniProt:Q2ULG0; UniProt:Q2ULG0,False
AO090003001338,AO090003001338,AO090003001338,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5992383; RefSeq transcript:XM_001820348.3; RefSeq protein:XP_001820400.1; KEGG:aor:AO090003001338; KEGG->GeneID:5992383; KEGG->UniProt:Q2UJ67; UniProt:Q2UJ67,False
AO090005000825,AO090005000825,AO090005000825,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5989786; RefSeq transcript:XM_001817789.3; RefSeq protein:XP_001817841.1; KEGG:aor:AO090005000825; KEGG->GeneID:5989786; KEGG->UniProt:Q2URH6; UniProt:Q2URH6,False
AO090038000254,AO090038000254,AO090038000254,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5997295; RefSeq transcript:XM_003190576.2; RefSeq protein:XP_003190624.1; KEGG:aor:AO090038000254; KEGG->GeneID:5997295; KEGG->UniProt:Q2U2Z8; UniProt:Q2U2Z8,False
AO090005000978,AO090005000978,AO090005000978,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5989919; RefSeq transcript:XM_001817922.3; RefSeq protein:XP_001817974.1; KEGG:aor:AO090005000978; KEGG->GeneID:5989919; KEGG->UniProt:Q2UR43; UniProt:Q2UR43,False
AO090012000548,AO090012000548,AO090012000548,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988022; RefSeq transcript:XM_001727496.1; RefSeq protein:XP_001727548.1; KEGG:aor:AO090012000548; KEGG->GeneID:5988022; KEGG->UniProt:Q2UCK6; UniProt:Q2UCK6,False
AO090026000672,AO090026000672,AO090026000672,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994118; RefSeq transcript:XM_001822038.3; RefSeq protein:XP_001822090.1; KEGG:aor:AO090026000672; KEGG->GeneID:5994118; KEGG->UniProt:Q2UEC7; UniProt:Q2UEC7,False
AO090005001206,AO090005001206,AO090005001206,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990517; RefSeq transcript:XM_001818107.3; RefSeq protein:XP_001818159.1; KEGG:aor:AO090005001206; KEGG->GeneID:5990517; KEGG->UniProt:Q2UQK8; UniProt:Q2UQK8,False
AO090012000993,AO090012000993,AO090012000993,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988399; RefSeq transcript:XM_001727873.3; RefSeq protein:XP_001727925.3; KEGG:aor:AO090012000993; KEGG->GeneID:5988399; KEGG->UniProt:Q2UBH9; UniProt:Q2UBH9,False
AO090038000605,AO090038000605,AO090038000605,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5997596; RefSeq transcript:XM_023238215.1; RefSeq protein:XP_023093203.1; KEGG:aor:AO090038000605; KEGG->GeneID:5997596; KEGG->UniProt:Q2U247; UniProt:Q2U247,False
AO090003001153,AO090003001153,AO090003001153,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5992228; RefSeq transcript:XM_023235200.1; RefSeq protein:XP_023090239.1; KEGG:aor:AO090003001153; KEGG->GeneID:5992228; KEGG->UniProt:Q2UJM2; UniProt:Q2UJM2,False
AO090009000664,AO090009000664,AO090009000664,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5989014; RefSeq transcript:XM_023236251.1; RefSeq protein:XP_023088751.1; KEGG:aor:AO090009000664; KEGG->GeneID:5989014; KEGG->UniProt:Q2UTN3; UniProt:Q2UTN3,False
AO090003000749,AO090003000749,AO090003000749,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5991875; RefSeq transcript:XM_023235016.1; RefSeq protein:XP_023090078.1; KEGG:aor:AO090003000749; KEGG->GeneID:5991875; UniProt:Q2UKM5,False
AO090003001091,AO090003001091,AO090003001091,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5992172; RefSeq transcript:XM_023235165.1; RefSeq protein:XP_023090209.1; KEGG:aor:AO090003001091; KEGG->GeneID:5992172; KEGG->UniProt:Q2UJS8; UniProt:Q2UJS8,False
AO090120000257,AO090120000257,AO090120000257,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996252; RefSeq transcript:XM_001823941.3; RefSeq protein:XP_001823993.1; KEGG:aor:AO090120000257; KEGG->GeneID:5996252; KEGG->UniProt:Q2U6F5; UniProt:Q2U6F5,False
AO090003000053,AO090003000053,AO090003000053,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5991274; RefSeq transcript:XM_023234712.1; RefSeq protein:XP_023089809.1; KEGG:aor:AO090003000053; KEGG->GeneID:5991274; KEGG->UniProt:Q2UMC6; UniProt:Q2UMC6,False
AO090005000437,AO090005000437,AO090005000437,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5989448; RefSeq transcript:XM_023234101.1; RefSeq protein:XP_023088961.1; KEGG:aor:AO090005000437; KEGG->GeneID:5989448; KEGG->UniProt:Q2USG4; UniProt:Q2USG4,False
AO090102000619,AO090102000619,AO090102000619,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994811; RefSeq transcript:XM_001822714.3; RefSeq protein:XP_001822766.1; KEGG:aor:AO090102000619; KEGG->GeneID:5994811; KEGG->UniProt:Q2U9Y2; UniProt:Q2U9Y2,False
AO090005000419,AO090005000419,AO090005000419,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5989432; RefSeq transcript:XM_023234109.1; RefSeq protein:XP_023088953.1; KEGG:aor:AO090005000419; KEGG->GeneID:5989432; UniProt:Q2USI0,False
AO090012000842,AO090012000842,AO090012000842,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988269; RefSeq transcript:XM_023236657.1; RefSeq protein:XP_023091562.1; KEGG:aor:AO090012000842; KEGG->GeneID:5988269; KEGG->UniProt:Q2UBV9; UniProt:Q2UBV9,False
AO090012000172,AO090012000172,AO090012000172,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5987705; RefSeq transcript:XM_023236363.1; RefSeq protein:XP_023091294.1; KEGG:aor:AO090012000172; KEGG->GeneID:5987705; KEGG->UniProt:Q2UDH3; UniProt:Q2UDH3,False
AO090003000198,AO090003000198,AO090003000198,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5991399; RefSeq transcript:XM_023234780.1; RefSeq protein:XP_023089867.1; KEGG:aor:AO090003000198; KEGG->GeneID:5991399; KEGG->UniProt:Q2UM01; UniProt:Q2UM01,False
AO090020000413,AO090020000413,AO090020000413,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996821; RefSeq transcript:XM_001824683.3; RefSeq protein:XP_001824735.1; KEGG:aor:AO090020000413; KEGG->GeneID:5996821; KEGG->UniProt:Q2U4B3; UniProt:Q2U4B3,False
AO090001000471,AO090001000471,AO090001000471,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990958; RefSeq transcript:XM_001818935.3; RefSeq protein:XP_001818987.1; KEGG:aor:AO090001000471; KEGG->GeneID:5990958; KEGG->UniProt:Q2UN80; UniProt:Q2UN80,False
AO090005001642,AO090005001642,AO090005001642,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990489; RefSeq transcript:XM_001818492.3; RefSeq protein:XP_001818544.1; KEGG:aor:AO090005001642; KEGG->GeneID:5990489; KEGG->UniProt:Q2UPH3; UniProt:Q2UPH3,False
AO090120000204,AO090120000204,AO090120000204,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996207; RefSeq transcript:XM_023237646.1; RefSeq protein:XP_023092456.1; KEGG:aor:AO090120000204; KEGG->GeneID:5996207; UniProt:Q2U6K0,False
AO090102000511,AO090102000511,AO090102000511,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994717; RefSeq transcript:XM_023236785.1; RefSeq protein:XP_023091850.1; KEGG:aor:AO090102000511; KEGG->GeneID:5994717; UniProt:Q2UA76,False
AO090102000107,AO090102000107,AO090102000107,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994391; RefSeq transcript:XM_001822294.3; RefSeq protein:XP_001822346.1; KEGG:aor:AO090102000107; KEGG->GeneID:5994391; KEGG->UniProt:Q2UB52; UniProt:Q2UB52,False
AO090012001026,AO090012001026,AO090012001026,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988429; RefSeq transcript:XM_001727903.3; RefSeq protein:XP_001727955.1; KEGG:aor:AO090012001026; KEGG->GeneID:5988429; KEGG->UniProt:Q2UBE9; UniProt:Q2UBE9,False
AO090023000802,AO090023000802,AO090023000802,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5993309; RefSeq transcript:XM_023235767.1; RefSeq protein:XP_023090756.1; KEGG:aor:AO090023000802; KEGG->GeneID:5993309; KEGG->UniProt:Q2UGL0; UniProt:Q2UGL0,False
AO090003001230,AO090003001230,AO090003001230,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5992288; RefSeq transcript:XM_001820253.3; RefSeq protein:XP_001820305.1; KEGG:aor:AO090003001230; KEGG->GeneID:5992288; KEGG->UniProt:Q2UJG2; UniProt:Q2UJG2,False
AO090009000313,AO090009000313,AO090009000313,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988723; RefSeq transcript:XM_001816741.3; RefSeq protein:XP_001816793.1; KEGG:aor:AO090009000313; KEGG->GeneID:5988723; KEGG->UniProt:Q2UUH4; UniProt:Q2UUH4,False
AO090010000480,AO090010000480,AO090010000480,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5999598; RefSeq transcript:XM_023233633.1; RefSeq protein:XP_023094197.1; KEGG:aor:AO090010000480; KEGG->GeneID:5999598; KEGG->UniProt:Q2TWP2; UniProt:Q2TWP2,False
AO090005001354,AO090005001354,AO090005001354,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990228; RefSeq transcript:XM_001818231.3; RefSeq protein:XP_001818283.1; KEGG:aor:AO090005001354; KEGG->GeneID:5990228; KEGG->UniProt:Q2UQ84; UniProt:Q2UQ84,False
AO090120000215,AO090120000215,AO090120000215,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996216; RefSeq transcript:XM_001823905.3; RefSeq protein:XP_001823957.3; KEGG:aor:AO090120000215; KEGG->GeneID:5996216; UniProt:Q2U6J1,False
AO090023000811,AO090023000811,AO090023000811,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5993317; RefSeq transcript:XM_023235771.1; RefSeq protein:XP_023090760.1; KEGG:aor:AO090023000811; KEGG->GeneID:5993317; UniProt:Q2UGK2,False
AO090120000486,AO090120000486,AO090120000486,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5996445; RefSeq transcript:XM_001824134.3; RefSeq protein:XP_001824186.1; KEGG:aor:AO090120000486; KEGG->GeneID:5996445; KEGG->UniProt:Q2U5W2; UniProt:Q2U5W2,False
AO090103000002,AO090103000002,AO090103000002,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5998745; RefSeq transcript:XM_001826571.3; RefSeq protein:XP_001826623.1; KEGG:aor:AO090103000002; KEGG->GeneID:5998745; KEGG->UniProt:Q2TZ33; UniProt:Q2TZ33,False
AO090011000475,AO090011000475,AO090011000475,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5998211; RefSeq transcript:XM_023232970.1; RefSeq protein:XP_023093520.1; KEGG:aor:AO090011000475; KEGG->GeneID:5998211; UniProt:Q2U0E0,False
AO090701000141,AO090701000141,AO090701000141,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5995079; RefSeq transcript:XM_023237456.1; RefSeq protein:XP_023092009.1; KEGG:aor:AO090701000141; KEGG->GeneID:5995079; UniProt:Q2U976,False
AO090005001276,AO090005001276,AO090005001276,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990161; RefSeq transcript:XM_023238296.1; RefSeq protein:XP_023089294.1; KEGG:aor:AO090005001276; KEGG->GeneID:5990161; KEGG->UniProt:Q2UQF1; UniProt:Q2UQF1,False
AO090009000300,AO090009000300,AO090009000300,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5988711; RefSeq transcript:XM_001816729.3; RefSeq protein:XP_001816781.1; KEGG:aor:AO090009000300; KEGG->GeneID:5988711; KEGG->UniProt:Q2UUI6; UniProt:Q2UUI6,False
AO090005000469,AO090005000469,AO090005000469,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5989475; RefSeq transcript:XM_023234089.1; RefSeq protein:XP_023088971.1; KEGG:aor:AO090005000469; KEGG->GeneID:5989475; UniProt:Q2USD7,False
AO090701000551,AO090701000551,AO090701000551,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5995439; RefSeq transcript:XM_023237256.1; RefSeq protein:XP_023092190.1; KEGG:aor:AO090701000551; KEGG->GeneID:5995439; KEGG->UniProt:Q2U866; UniProt:Q2U866,False
AO090701000076,AO090701000076,AO090701000076,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5995023; RefSeq transcript:XM_001822914.3; RefSeq protein:XP_001822966.1; KEGG:aor:AO090701000076; KEGG->GeneID:5995023; KEGG->UniProt:Q2U9D2; UniProt:Q2U9D2,False
AO090026000548,AO090026000548,AO090026000548,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994281; RefSeq transcript:XM_001821928.1; RefSeq protein:XP_001821980.1; KEGG:aor:AO090026000548; KEGG->GeneID:5994281; KEGG->UniProt:Q2UEN7; UniProt:Q2UEN7,False
AO090010000776,AO090010000776,AO090010000776,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5999860; RefSeq transcript:XM_001827674.1; RefSeq protein:XP_001827726.1; KEGG:aor:AO090010000776; KEGG->GeneID:5999860; KEGG->UniProt:Q2TVY0; UniProt:Q2TVY0,False
AO090003000271,AO090003000271,AO090003000271,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5991461; RefSeq transcript:XM_023234808.1; RefSeq protein:XP_023089893.1; KEGG:aor:AO090003000271; KEGG->GeneID:5991461; KEGG->UniProt:Q2ULT9; UniProt:Q2ULT9,False
AO090003000589,AO090003000589,AO090003000589,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5991738; RefSeq transcript:XM_001819703.3; RefSeq protein:XP_001819755.1; KEGG:aor:AO090003000589; KEGG->GeneID:5991738; KEGG->UniProt:Q2UL12; UniProt:Q2UL12,False
AO090011000813,AO090011000813,AO090011000813,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5998492; RefSeq transcript:XM_001826337.3; RefSeq protein:XP_001826389.1; KEGG:aor:AO090011000813; KEGG->GeneID:5998492; KEGG->UniProt:Q2TZK9; UniProt:Q2TZK9,False
AO090003000467,AO090003000467,AO090003000467,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5991629; RefSeq transcript:XM_001819594.3; RefSeq protein:XP_001819646.1; KEGG:aor:AO090003000467; KEGG->GeneID:5991629; KEGG->UniProt:Q2ULC1; UniProt:Q2ULC1,False
AO090166000088,AO090166000088,AO090166000088,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994925; RefSeq transcript:XM_023237081.1; RefSeq protein:XP_023091948.1; KEGG:aor:AO090166000088; KEGG->GeneID:5994925; KEGG->UniProt:Q2U9M9; UniProt:Q2U9M9,False
AO090011000638,AO090011000638,AO090011000638,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5998343; RefSeq transcript:XM_023233040.1; RefSeq protein:XP_023093582.1; KEGG:aor:AO090011000638; KEGG->GeneID:5998343; KEGG->UniProt:Q2U008; UniProt:Q2U008,False
AO090005001095,AO090005001095,AO090005001095,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5990015; RefSeq transcript:XM_001818018.3; RefSeq protein:XP_001818070.1; KEGG:aor:AO090005001095; KEGG->GeneID:5990015; KEGG->UniProt:Q2UQU7; UniProt:Q2UQU7,False
AO090038000276,AO090038000276,AO090038000276,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5997314; RefSeq transcript:XM_023238362.1; RefSeq protein:XP_023093070.1; KEGG:aor:AO090038000276; KEGG->GeneID:5997314; KEGG->UniProt:Q2U2X9; UniProt:Q2U2X9,False
AO090102000145,AO090102000145,AO090102000145,unchanged/exact identifier,NCBI RefSeq; KEGG; UniProt,all available sources agree,,confirmed,NCBI GeneID:5994422; RefSeq transcript:XM_001822325.3; RefSeq protein:XP_001822377.1; KEGG:aor:AO090102000145; KEGG->GeneID:5994422; KEGG->UniProt:Q2UB21; UniProt:Q2UB21,False
