record_id,ao_locus_tag,gene_name,function,subsystem,subsystem_source,subsystem_confidence,subsystem_rationale,pathway_order,compartment,sig_all_three,direction_all_three,manual_review_required,secondary_subsystems,placement_status
AOR00026,AO090003001338,,"Structural, ARP2/3 complex",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00027,AO090005000825,,"Structural, ARP2/3 complex",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00028,AO090038000254,,"ARF GTPase; Vesicular transport of proteins between ER and Golgi, ADP-ribosylation factor ",copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,Golgi,False,,False,,assigned
AOR00029,AO090005000978,,"COPI; Cellular export and secretion , ADP-ribosylation factor-like protein, ras ",copi,liu2014,high,Verified Liu 2014 Table S1 subsystem.,80.0,vesicle,False,,False,,assigned
AOR00030,AO090012000548,,Arp2/3 complex,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00031,AO090026000672,,Arp2/3 complex,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00032,AO090005001206,,Autophagy,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00033,AO090012000993,,COPII,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,unknown,False,,False,,assigned
AOR00034,AO090038000605,,COPII,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,70.0,unknown,False,,False,,assigned
AOR00035,AO090003001153,,"Vesicular transport of proteins between ER and Golgi, geranylgeranyltransferase, α SU ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00036,AO090009000664,,COPII,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,70.0,unknown,False,,False,,assigned
AOR00037,AO090003000749,,Structural: cortical microtubule capture,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00038,AO090003001091,,Proteasome regulator,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00039,AO090120000257,,Similar to ArtA: exocytosis,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00040,AO090003000053,,Similar to ArtA: exocytosis,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00041,AO090005000437,,"COPII,Qb-SNARE",copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,unknown,False,,False,snare,assigned
AOR00042,AO090102000619,,Ras-GTPase-activating protein,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00043,AO090005000419,bst1,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,unknown,False,,False,,assigned
AOR00044,AO090012000842,,"Golgi cargo export; Cell wall biogenesis , Strong similarity to Chs6p FMP50 ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00045,AO090012000172,,COPII,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,70.0,unknown,False,,False,,assigned
AOR00046,AO090003000198,,Cct ring complex subunit β,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00047,AO090020000413,,Cct ring complex subunit δ,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00048,AO090001000471,,Cct ring complex subunit η,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00049,AO090005001642,,Septin family protein AspD,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00050,AO090120000204,,Septin ring protein AspA,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00051,AO090102000511,,Septin ring protein,septin,liu2014,high,Verified Liu 2014 Table S1 subsystem.,150.0,cytosol,False,,False,,assigned
AOR00052,AO090102000107,,ERADL,erad,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,60.0,cytosol,False,,False,,assigned
AOR00053,AO090012001026,,Endosomal protein: actin patch,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,membrane,False,,False,,unassigned
AOR00054,AO090023000802,,CPY pathway,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,120.0,unknown,False,,False,,assigned
AOR00055,AO090003001230,,CPY pathway,cpy_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,120.0,unknown,False,,False,,assigned
AOR00056,AO090009000313,,"Glycoprotein chaperone ClxA, protein folding; Trimming and quality control of N-glycosylated folded proteins, Calnexin—chaperone, folding clxA ",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,unknown,True,up,False,,assigned
AOR00057,AO090010000480,,Cofilin: actin filament depolarization,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00058,AO090005001354,,"COPI; Vesicular transport of proteins between ER and Golgi, COPI complex, α SU ",copi,liu2014_description,medium,Specific function stated in Liu 2014 description.,80.0,unknown,False,,False,,assigned
AOR00059,AO090120000215,,PPIase cyclophilin CypA,folding,current_annotation,medium,Specific current database function annotation.,40.0,ER,False,,False,,assigned
AOR00060,AO090023000811,cpr2,"Protein folding/UPR , Peptidyl-prolyl cis-trans isomerase ",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,True,up,False,,assigned
AOR00061,AO090120000486,,"Protein folding/UPR , cyclophilin type peptidyl-prolyl cis-trans isomerase",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,True,down,False,,assigned
AOR00062,AO090103000002,cyp3,"Protein folding/UPR , Peptidyl-prolyl cis-trans isomerase precursor ",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,False,,False,,assigned
AOR00063,AO090011000475,cpr6,"PPIase cyclophilin CypD; Protein folding/UPR , peptidyl-prolyl isomerase D (cyclophilin D)",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,cytosol,False,,False,,assigned
AOR00064,AO090701000141,,"protein folding; Trimming and quality control of N-glycosylated folded proteins, alpha glucosidase I ",er_glycosylation,liu2014_description+uniprot+kegg_ko,high,Glucosidase I trims the first glucose from N-glycans in the ER; folding and ER-processing memberships are secondary context.,30.0,unknown,False,,False,folding,assigned
AOR00065,AO090005001276,,Addition of ceramides to GPI,gpi_biosynthesis,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",50.0,ER,False,,False,,assigned
AOR00066,AO090009000300,,Phosphoesterase: UPR downregulation,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00067,AO090005000469,ddi1,Ub-dependent protein catabolism,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00068,AO090701000551,,ERADM,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00069,AO090701000076,,"Protein degradation , ER associated protein degradation ",erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,60.0,unknown,True,up,False,,assigned
AOR00070,AO090026000548,,Dolichol pathway,dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,unknown,False,,False,,assigned
AOR00071,AO090010000776,,"Dynamin GTPase, HDSV",hdsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,110.0,membrane,False,,False,,assigned
AOR00072,AO090003000271,,"Protein degradation , Ubiquitin-specific protease ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00073,AO090003000589,,"Dolichol pathway; Glycosylation/modification , dolichol phosphate mannose synthase ",dolichol_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,20.0,ER,True,up,False,,assigned
AOR00074,AO090011000813,,Flippase,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00075,AO090003000467,,ERADL,erad,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,60.0,unknown,False,,False,,assigned
AOR00076,AO090166000088,,Unknown ER DnaK protein,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00077,AO090011000638,,"Protein folding/UPR , Heat shock protein, 70 kDa ",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00078,AO090005001095,,"Cell wall biogenesis , Involved in cell wall biogenesis, architecture ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,membrane,False,,False,,unassigned
AOR00079,AO090038000276,,"COPII; Vesicular transport of proteins between ER and Golgi, COPII vesicle membrane component ",copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,membrane,False,,False,,assigned
AOR00080,AO090102000145,,"Vesicular transport of proteins between ER and Golgi, COPII vesicle membrane component ",copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,membrane,True,up,False,,assigned
AOR00081,AO090103000412,,"COPII; Vesicular transport of proteins between ER and Golgi, endosomal membrane proteins, EMP70",copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,70.0,membrane,False,,False,,assigned
AOR00082,AO090012000592,end3,"Vacuolar protein sorting , VPS plasma membrane to endosome ",cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,120.0,unknown,False,,False,,assigned
AOR00083,AO090120000220,,Epsin-like domain protein,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00084,AO090005000648,,"Lipid/inositol metabolism , sn-1,2-Diacylglycerol ethanolamine ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,membrane,False,,False,,unassigned
AOR00085,AO090102000650,,COPI,copi,liu2014,high,Verified Liu 2014 Table S1 subsystem.,80.0,unknown,True,up,False,,assigned
AOR00086,AO090026000646,,"Vesicular transport of proteins between ER and Golgi, ER retention HDEL-receptor ",copi,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,80.0,unknown,False,,False,,assigned
AOR00087,AO090003000036,,DnaJ-domain protein,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,membrane,True,up,False,,assigned
AOR00088,AO090011000874,,"Protein folding/UPR , ER located DNA-J protein ",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,True,up,False,,assigned
AOR00089,AO090005000630,,protein folding,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,unknown,True,up,False,,assigned
AOR00090,AO090023000834,,COPII,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,70.0,membrane,False,,False,,assigned
AOR00091,AO090102000528,,COPII,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,membrane,True,up,False,,assigned
AOR00092,AO090005000162,,protein folding,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,False,,False,,assigned
AOR00093,AO090038000244,,"COPII; Vesicular transport of proteins between ER and Golgi, glycoprotein cargo receptor ",copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,membrane,True,up,False,,assigned
AOR00094,AO090701000797,,"COPII; Vesicular transport of proteins between ER and Golgi, COPII vesicle fusion ",copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,unknown,True,up,False,,assigned
AOR00095,AO090003000808,,"Erv41/46 complex; Vesicular transport of proteins between ER and Golgi, COPII vesicle fusion ",copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,unknown,True,up,False,,assigned
AOR00096,AO090011000848,,"Protein folding/UPR , peptidyl-prolyl cis-trans isomerase NIMA-interacting 1",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00097,AO090026000449,,"LDSV; Cellular export and secretion , exocyst complex SU",ldsv,liu2014,high,Verified Liu 2014 Table S1 subsystem.,100.0,vesicle,True,up,False,,assigned
AOR00098,AO090023000477,,LDSV,ldsv,liu2014_description,medium,Specific function stated in Liu 2014 description.,100.0,unknown,False,,False,,assigned
AOR00099,AO090023000516,,"Protein folding/UPR , FAD synthase ",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00100,AO090103000136,,"Protein folding/UPR , PPlase, FK506-binding protein ",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00101,AO090005001515,fpr2,"PPIase FK506 binding protein; Protein folding/UPR , FK506/rapamycin-binding protein of the ER ",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,True,up,False,,assigned
AOR00102,AO090001000519,fpr4,"Protein folding/UPR , Proline cis-trans isomerase; Protein folding/UPR , Nucleolar peptidyl-prolyl cis-trans isomerase ",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00103,AO090003000395,,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,ER,False,,False,,assigned
AOR00104,AO090023000750,,GPI biosynthesis,gpi_biosynthesis,liu2014,high,Verified Liu 2014 Table S1 subsystem.,50.0,unknown,True,up,False,,assigned
AOR00105,AO090010000463,,UDP-Glc 4-epimerase,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00106,AO090009000459,,"Protein folding/UPR , bZIP transcription factor ",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00107,AO090001000329,,"Guanosine-diphosphatase; Glycosylation/modification ,  guanosine diphosphatase ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00108,AO090026000537,,"GDP dissociation inhibitor; Cellular export and secretion , Secretory pathway GDP-dissociation inhibitor ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00109,AO090120000299,,"GEF for ARFs; Vesicular transport of proteins between ER and Golgi, guanine nucleotide exchange factor on ARF ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00110,AO090023000956,get1,GET subunit,tc,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",10.0,unknown,False,,False,,assigned
AOR00111,AO090003000688,get3,GET subunit,tc,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",10.0,unknown,False,,False,,assigned
AOR00112,AO090003000003,,Gln-Fru-6-P amidotransferase,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00113,AO090001000466,,CPY,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,Golgi,False,,False,,unassigned
AOR00114,AO090010000760,,GlcNAc-transferase,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00115,AO090038000376,,Qb.II type SNARE,snare,liu2014_description,medium,Specific function stated in Liu 2014 description.,140.0,unknown,False,,False,,assigned
AOR00116,AO090012000577,,FadA: proliferation,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00117,AO090005001259,,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,ER,False,,False,,assigned
AOR00118,AO090023000629,gpi10,GPI biosynthesis,gpi_biosynthesis,liu2014,high,Verified Liu 2014 Table S1 subsystem.,50.0,unknown,False,,False,,assigned
AOR00119,AO090701000376,,Man-EthNH P-transferase,gpi_biosynthesis,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",50.0,unknown,False,,False,,assigned
AOR00120,AO090120000381,,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,ER,False,,False,,assigned
AOR00121,AO090701000122,,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,unknown,False,,False,,assigned
AOR00122,AO090010000207,gpi14,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,unknown,False,,False,,assigned
AOR00123,AO090001000578,,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,ER,False,,False,,assigned
AOR00124,AO090005001582,,GPI biosynthesis,gpi_biosynthesis,liu2014,high,Verified Liu 2014 Table S1 subsystem.,50.0,unknown,False,,False,,assigned
AOR00125,AO090003001092,gpi18,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,unknown,False,,False,,assigned
AOR00126,AO090020000206,,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,membrane,False,,False,,assigned
AOR00127,AO090005001186,,GPI biosynthesis,gpi_biosynthesis,liu2014,high,Verified Liu 2014 Table S1 subsystem.,50.0,ER,False,,False,,assigned
AOR00128,AO090102000156,,"Vesicular transport of proteins between ER and Golgi, TRAPP complex SU ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00129,AO090005000093,,"Glucosidase II β subunit; Trimming and quality control of N-glycosylated folded proteins, glucosidase II, βSU ",folding,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",40.0,ER,False,,False,,assigned
AOR00130,AO090005001245,gwt1,GPI biosynthesis,gpi_biosynthesis,liu2014,high,Verified Liu 2014 Table S1 subsystem.,50.0,unknown,False,,False,,assigned
AOR00131,AO090124000074,hacA,"Protein folding/UPR , UPR transcription factor hacA ",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00132,AO090023000840,,"ERADL; Protein degradation , DnaJ co-chaperone ",erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,60.0,unknown,False,,False,folding,assigned
AOR00133,AO090120000217,,"Lipid/inositol metabolism , 3-Hydroxy-3-methylglutaryl-coenzyme A reductase 2 ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00134,AO090003001503,,"α-1,6-Mannosyltransferase",golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,Golgi,False,,False,,assigned
AOR00135,AO090010000615,,"α-1,6-Mannosyltransferase",golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,Golgi,False,,False,,assigned
AOR00136,AO090120000208,,"Golgi processing; Glycosylation/modification , α-1,6-mannosyltransferase ",golgi_processing,liu2014_description,medium,Specific function stated in Liu 2014 description.,90.0,unknown,False,,False,,assigned
AOR00137,AO090005000658,,"ERADL; Protein degradation , Zinc finger for ER degradation E3 ",erad,liu2014,high,Verified Liu 2014 Table S1 subsystem.,60.0,unknown,False,,False,,assigned
AOR00138,AO090003000492,,"ERADL; Protein degradation , HMG-CoAg reductase degradation ",erad,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,60.0,unknown,False,,False,,assigned
AOR00139,AO090026000593,,Ser/Thr kinase,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00140,AO090102000620,,Hsp90 chaperone SspB,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,cytosol,False,,False,,assigned
AOR00141,AO090011000764,,"Protein folding/UPR , Heat shock protein, 60 kDa ",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,ER,False,,False,,assigned
AOR00142,AO090009000400,,"protein folding; Protein folding/UPR , UDP-galactose transporter ",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,unknown,True,up,False,,assigned
AOR00143,AO090020000450,,HexA protein: Woronin body,translation,liu2014,high,Verified Liu 2014 Table S1 subsystem.,170.0,cytosol,False,,False,,assigned
AOR00144,AO090701000359,,"Cellular export and secretion , Putative myo-inositol-1-phosphate synthase ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,False,,False,,unassigned
AOR00145,AO090005000934,,"Protein folding/UPR , Serine/threonine protein kinase UPR ",folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,membrane,False,,False,,assigned
AOR00146,AO090020000010,,protein folding,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,True,up,False,,assigned
AOR00147,AO090003000257,,"ERADL; Protein folding/UPR , ER chaperone bipA ",folding,curated_liu_composite,high,KAR2/BiP is the primary ER Hsp70 folding chaperone; its ERAD contribution is secondary quality-control context.,40.0,ER,True,up,False,erad,assigned
AOR00148,AO090003000735,,Oxysterol binding protein,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00149,AO090005001632,kex1,Golgi processing,golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,unknown,False,,False,,assigned
AOR00150,AO090009000291,,Golgi processing,golgi_processing,liu2014,high,Verified Liu 2014 Table S1 subsystem.,90.0,membrane,False,,False,,assigned
AOR00151,AO090010000465,,Golgi processing,golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,Golgi,False,,False,,assigned
AOR00152,AO090011000515,,UDP-Glc glucosyltransferase,beta_1_6_glucan_biosynthesis,liu2014,high,Verified Liu 2014 Table S1 subsystem.,160.0,ER,True,up,False,,assigned
AOR00153,AO090102000391,,"α-1,2-Mannosyltransferase",golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,Golgi,False,,False,,assigned
AOR00154,AO090120000333,,"α-1,2-Mannosyltransferase",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00155,AO090005001222,,"protein folding; Protein folding/UPR , ER lumen Hsp70 chaperone ",folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,True,up,False,,assigned
AOR00156,AO090026000314,,PtdIns 4-kinase: actin polymerization,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00157,AO090011000320,mcd4,GPI biosynthesis,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,unknown,False,,False,,assigned
AOR00158,AO090005000459,,Myosin light chain,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00159,AO090038000608,,ERADL,erad,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,60.0,unknown,False,,False,,assigned
AOR00160,AO090012000403,,Golgi processing,golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,Golgi,False,,False,,assigned
AOR00161,AO090003001140,,Golgi processing,golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,Golgi,False,,False,,assigned
AOR00162,AO090003000967,,"Glycosylation/modification , Regulates mannosylphosphorylation ",,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,False,,False,,unassigned
AOR00163,AO090701000814,,ERADC,erad,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,60.0,unknown,False,,False,,assigned
