record_id,ao_locus_tag,liu_ao_locus_tag,liu_source_raw,liu_table_row,gene_name,function,record_type,subsystem,subsystem_source,subsystem_confidence,subsystem_rationale,pathway_order,compartment,compartment_source,compartment_confidence,glycosylation_role,glycosylation_role_source,glycosylation_role_confidence,sig_all_three,direction_all_three,record_origin,evidence_source,yeast_ortholog,citation,mapping_status,mapping_method,manual_review_required,uniprot_accession,kegg_gene_id,kegg_ko,ncbi_gene_id
AOR00016,AO090023000901,AO090023000901,||Oliveira et al (2010)|,S1:18,,MTC complex subunit,machinery_component,golgi_processing,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,90.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,aspergillus_homolog,ANP1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UGB7,aor:AO090023000901,,5993402
AOR00017,AO090012000213,AO090012000213,inparanoid+besthit|||,S1:19,,Golgi processing/ERADC,machinery_component,golgi_processing,liu2014,high,Verified Liu 2014 Table S1 subsystem.,90.0,unknown,uniprot_conflict,low,golgi_mannosylation,kegg_ko,medium,False,,liu2014,yeast_inference,ANP1/VAN1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UDD7,aor:AO090012000213,ko:K05533,5987741
AOR00018,AO090005001357,AO090005001357,inparanoid+besthit|||,S1:20,,"CPY pathway, HDSV",machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,membrane,uniprot,high,none,,,False,,liu2014,yeast_inference,APL2,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,True,Q2UQ81,aor:AO090005001357,ko:K12392,5990231
AOR00019,AO090206000061,AO090206000061,|wang et al 2010-AO||,S1:21,,"ALPpathway; Cellular export and secretion , vesicle coat complex AP-2, alpha subunit",machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,uniprot_conflict,low,none,,,False,,liu2014,unknown,APL3,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2PIU2,aor:AO090206000061,ko:K11824,5998681
AOR00020,AO090009000481,AO090009000481,inparanoid+besthit|||Kuratsu et al 2007-AO SNARE,S1:22,,"CPY pathway, HDSV",machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,uniprot_conflict,low,none,,,False,,liu2014,yeast_inference,APL4,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,True,Q2UU30,aor:AO090009000481,ko:K12391,5988867
AOR00021,AO090673000002,AO090673000002,inparanoid+besthit|||,S1:23,,ALPpathway,machinery_component,alp_pathway,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,130.0,vacuole,subsystem_inference,medium,none,,,False,,liu2014,yeast_inference,APL5,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,,,ko:K12396,
AOR00022,AO090026000703,AO090026000703,inparanoid+besthit|||,S1:24,,ALPpathway,machinery_component,alp_pathway,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,130.0,membrane,uniprot,high,none,,,False,,liu2014,yeast_inference,APL6,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UEA1,aor:AO090026000703,ko:K12397,5994144
AOR00023,AO090020000601,AO090020000601,inparanoid+besthit|||,S1:25,,"CPY pathway, HDSV",machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,membrane,uniprot,high,none,,,False,,liu2014,yeast_inference,APM1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,True,Q2U3V6,aor:AO090020000601,ko:K12393,5996978
AOR00024,AO090009000223,AO090009000223,bhits|||,S1:26,,ALPpathway,machinery_component,alp_pathway,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,130.0,vacuole,subsystem_inference,medium,none,,,False,,liu2014,unknown,APM3,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UUQ3,aor:AO090009000223,ko:K12398,5988644
AOR00025,AO090003000425,AO090003000425,inparanoid+besthit|||,S1:27,,ALPpathway,machinery_component,alp_pathway,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,130.0,membrane,uniprot,high,none,,,False,,liu2014,yeast_inference,APS3,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2ULG0,aor:AO090003000425,ko:K12399,5991590
AOR00026,AO090003001338,AO090003001338,||Oliveira et al 2010-A. niger|,S1:28,,"Structural, ARP2/3 complex",machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,ARC18,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UJ67,aor:AO090003001338,ko:K05756,5992383
AOR00027,AO090005000825,AO090005000825,||Oliveira et al 2010-A. niger|,S1:29,,"Structural, ARP2/3 complex",machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,ARC35,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2URH6,aor:AO090005000825,ko:K05758,5989786
AOR00028,AO090038000254,AO090038000254,inparanoid+besthit|wang et al 2010-AO|Oliveira et al 2010-A. niger|,S1:30,,"ARF GTPase; Vesicular transport of proteins between ER and Golgi, ADP-ribosylation factor ",machinery_component,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,Golgi,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,ARF2/ARF1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U2Z8,aor:AO090038000254,ko:K07937,
AOR00029,AO090005000978,AO090005000978,|wang et al 2010-AO||,S1:31,,"COPI; Cellular export and secretion , ADP-ribosylation factor-like protein, ras ",machinery_component,copi,liu2014,high,Verified Liu 2014 Table S1 subsystem.,80.0,vesicle,subsystem_inference,medium,none,,,False,,liu2014,unknown,ARL3 ,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UR43,aor:AO090005000978,ko:K07952,5989919
AOR00030,AO090012000548,AO090012000548,||Oliveira et al 2010-A. niger|,S1:32,,Arp2/3 complex,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,ARP2,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UCK6,aor:AO090012000548,ko:K17260,5988022
AOR00031,AO090026000672,AO090026000672,||Oliveira et al 2010-A. niger|,S1:33,,Arp2/3 complex,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,ARP3,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UEC7,aor:AO090026000672,ko:K18584,5994118
AOR00032,AO090005001206,AO090005001206,bhits|||,S1:34,,Autophagy,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,uniprot_conflict,low,none,,,False,,liu2014,unknown,ATG27,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UQK8,aor:AO090005001206,ko:K21141,5990517
AOR00033,AO090012000993,AO090012000993,inparanoid+besthit|||,S1:35,,COPII,machinery_component,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,yeast_inference,BET1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UBH9,aor:AO090012000993,ko:K08504,5988399
AOR00034,AO090038000605,AO090038000605,inparanoid+besthit|||,S1:36,,COPII,machinery_component,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,70.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,yeast_inference,BET3,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U247,aor:AO090038000605,ko:K20302,5997596
AOR00035,AO090003001153,AO090003001153,|wang et al 2010-AO||,S1:37,,"Vesicular transport of proteins between ER and Golgi, geranylgeranyltransferase, α SU ",machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,unassigned,low,none,,,False,,liu2014,unknown,BET4 ,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UJM2,aor:AO090003001153,ko:K14050,5992228
AOR00036,AO090009000664,AO090009000664,inparanoid+besthit|||,S1:38,,COPII,machinery_component,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,70.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,yeast_inference,BET5,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UTN3,aor:AO090009000664,ko:K20300,5989014
AOR00037,AO090003000749,AO090003000749,bhits|||,S1:39,,Structural: cortical microtubule capture,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,unknown,BIM1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UKM5,aor:AO090003000749,ko:K10436,
AOR00038,AO090003001091,AO090003001091,||Oliveira et al 2010-A. niger|,S1:40,,Proteasome regulator,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,BLM10,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UJS8,aor:AO090003001091,ko:K06699,5992172
AOR00039,AO090120000257,AO090120000257,||Oliveira et al 2010-A. niger|,S1:41,,Similar to ArtA: exocytosis,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,unassigned,low,none,,,False,,liu2014,aspergillus_homolog,BMH1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U6F5,aor:AO090120000257,ko:K06630,
AOR00040,AO090003000053,AO090003000053,||Oliveira et al 2010-A. niger|,S1:42,,Similar to ArtA: exocytosis,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,unassigned,low,none,,,False,,liu2014,aspergillus_homolog,BMH2,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UMC6,aor:AO090003000053,ko:K06630,5991274
AOR00041,AO090005000437,AO090005000437,inparanoid+besthit|||,S1:43,,"COPII,Qb-SNARE",machinery_component,copii,liu2014,high,Verified Liu 2014 Table S1 subsystem.,70.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,yeast_inference,BOS1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2USG4,aor:AO090005000437,ko:K08496,5989448
AOR00042,AO090102000619,AO090102000619,||Oliveira et al 2010-A. niger|,S1:44,,Ras-GTPase-activating protein,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,unassigned,low,none,,,False,,liu2014,aspergillus_homolog,BRE5,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U9Y2,aor:AO090102000619,ko:K24983,5994811
AOR00043,AO090005000419,AO090005000419,inparanoid+besthit|||,S1:45,bst1,GPI biosynthesis,machinery_component,gpi_biosynthesis,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,50.0,unknown,uniprot_conflict,low,gpi_anchor,yeast_scaffold,medium,False,,liu2014,yeast_inference,BST1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2USI0,,ko:K05294,
AOR00044,AO090012000842,AO090012000842,|wang et al 2010-AO|Oliveira et al 2010-A. niger|,S1:46,,"Golgi cargo export; Cell wall biogenesis , Strong similarity to Chs6p FMP50 ",machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,unassigned,low,none,,,False,,liu2014,aspergillus_homolog,BUD7/FMP50 ,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UBV9,aor:AO090012000842,ko:K19881,5988269
AOR00045,AO090012000172,AO090012000172,bhits|||,S1:47,,COPII,machinery_component,copii,liu2014_description,medium,Specific function stated in Liu 2014 description.,70.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,unknown,BUG1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UDH3,aor:AO090012000172,,5987705
AOR00046,AO090003000198,AO090003000198,bhits|||,S1:48,,Cct ring complex subunit β,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,unknown,CCT2,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UM01,aor:AO090003000198,ko:K09497,5991399
AOR00047,AO090020000413,AO090020000413,||Oliveira et al 2010-A. niger|,S1:49,,Cct ring complex subunit δ,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,CCT4,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U4B3,aor:AO090020000413,ko:K09496,5996821
AOR00048,AO090001000471,AO090001000471,||Oliveira et al 2010-A. niger|,S1:50,,Cct ring complex subunit η,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,CCT7,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UN80,aor:AO090001000471,ko:K09499,5990958
AOR00049,AO090005001642,AO090005001642,||Oliveira et al 2010-A. niger|,S1:51,,Septin family protein AspD,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,unassigned,low,none,,,False,,liu2014,aspergillus_homolog,CDC10,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UPH3,aor:AO090005001642,ko:K16938,
AOR00050,AO090120000204,AO090120000204,||Oliveira et al 2010-A. niger|,S1:52,,Septin ring protein AspA,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,unassigned,low,none,,,False,,liu2014,aspergillus_homolog,CDC11,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U6K0,aor:AO090120000204,ko:K16945,
AOR00051,AO090102000511,AO090102000511,||Oliveira et al 2010-A. niger|,S1:53,,Septin ring protein,machinery_component,septin,liu2014,high,Verified Liu 2014 Table S1 subsystem.,150.0,cytosol,subsystem_inference,medium,none,,,False,,liu2014,aspergillus_homolog,CDC12,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UA76,aor:AO090102000511,ko:K16948,
AOR00052,AO090102000107,AO090102000107,inparanoid+besthit|||,S1:54,,ERADL,machinery_component,erad,yeast_scaffold,medium,Unique match in the original yeast secretory-system scaffold.,60.0,cytosol,uniprot,high,none,,,False,,liu2014,yeast_inference,CDC48,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UB52,aor:AO090102000107,ko:K13525,
AOR00053,AO090012001026,AO090012001026,||Oliveira et al 2010-A. niger|,S1:55,,Endosomal protein: actin patch,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,membrane,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,CDC50,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UBE9,aor:AO090012001026,ko:K26935,5988429
AOR00054,AO090023000802,AO090023000802,inparanoid+besthit|||,S1:56,,CPY pathway,machinery_component,cpy_pathway,liu2014_description,medium,Specific function stated in Liu 2014 description.,120.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,yeast_inference,CHC1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UGL0,aor:AO090023000802,ko:K04646,5993309
AOR00055,AO090003001230,AO090003001230,inparanoid+besthit|||,S1:57,,CPY pathway,machinery_component,cpy_pathway,liu2014,high,Verified Liu 2014 Table S1 subsystem.,120.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,yeast_inference,CLC1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UJG2,aor:AO090003001230,,5992288
AOR00056,AO090009000313,AO090009000313,|wang et al 2010-AO|Oliveira et al 2010-A. niger|,S1:58,,"Glycoprotein chaperone ClxA, protein folding; Trimming and quality control of N-glycosylated folded proteins, Calnexin—chaperone, folding clxA ",machinery_component,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,unknown,uniprot_conflict,low,n_glycan_trimming,liu_description_or_current_annotation,medium,True,up,liu2014,aspergillus_homolog,CNE1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UUH4,aor:AO090009000313,ko:K08054,
AOR00057,AO090010000480,AO090010000480,||Oliveira et al 2010-A. niger|,S1:59,,Cofilin: actin filament depolarization,machinery_component,,unassigned,low,Available evidence does not distinguish a primary subsystem.,,unknown,unassigned,low,none,,,False,,liu2014,aspergillus_homolog,COF1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2TWP2,aor:AO090010000480,ko:K05765,5999598
AOR00058,AO090005001354,AO090005001354,inparanoid+besthit|wang et al 2010-AO||,S1:60,,"COPI; Vesicular transport of proteins between ER and Golgi, COPI complex, α SU ",machinery_component,copi,liu2014_description,medium,Specific function stated in Liu 2014 description.,80.0,unknown,uniprot_conflict,low,none,,,False,,liu2014,yeast_inference,COP1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UQ84,aor:AO090005001354,ko:K05236,5990228
AOR00059,AO090120000215,AO090120000215,||Oliveira et al 2010-A. niger|,S1:61,,PPIase cyclophilin CypA,machinery_component,folding,current_annotation,medium,Specific current database function annotation.,40.0,ER,subsystem_inference,medium,none,,,False,,liu2014,aspergillus_homolog,CPR1,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U6J1,aor:AO090120000215,ko:K01802,
AOR00060,AO090023000811,AO090023000811,|wang et al 2010-AO|Oliveira et al (2010)|Kuratsu et al 2007-AO SNARE,S1:62,cpr2,"Protein folding/UPR , Peptidyl-prolyl cis-trans isomerase ",machinery_component,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,uniprot,high,none,,,True,up,liu2014,aspergillus_homolog,"CPR1, CPR2, CPR5 ",10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UGK2,,ko:K03768,
AOR00061,AO090120000486,AO090120000486,|wang et al 2010-AO||,S1:63,,"Protein folding/UPR , cyclophilin type peptidyl-prolyl cis-trans isomerase",machinery_component,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,subsystem_inference,medium,none,,,True,down,liu2014,unknown,"CPR1, CPR3 ",10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U5W2,aor:AO090120000486,ko:K01802,5996445
AOR00062,AO090103000002,AO090103000002,|wang et al 2010-AO||Kuratsu et al 2007-AO SNARE,S1:64,cyp3,"Protein folding/UPR , Peptidyl-prolyl cis-trans isomerase precursor ",machinery_component,folding,liu2014,high,Verified Liu 2014 Table S1 subsystem.,40.0,ER,subsystem_inference,medium,none,,,False,,liu2014,unknown,"CPR4, CPR8",10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2TZ33,aor:AO090103000002,ko:K09567,5998745
AOR00063,AO090011000475,AO090011000475,|wang et al 2010-AO|Oliveira et al 2010-A. niger|,S1:65,cpr6,"PPIase cyclophilin CypD; Protein folding/UPR , peptidyl-prolyl isomerase D (cyclophilin D)",machinery_component,folding,liu2014_description,medium,Specific function stated in Liu 2014 description.,40.0,cytosol,uniprot,high,none,,,False,,liu2014,aspergillus_homolog,"CPR6, CPR7 ",10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U0E0,,ko:K05864,
AOR00064,AO090701000141,AO090701000141,inparanoid+besthit|wang et al 2010-AO||,S1:66,,"protein folding; Trimming and quality control of N-glycosylated folded proteins, alpha glucosidase I ",machinery_component,er_glycosylation,liu2014_description+uniprot+kegg_ko,high,Glucosidase I trims the first glucose from N-glycans in the ER; folding and ER-processing memberships are secondary context.,30.0,unknown,uniprot_conflict,low,n_glycan_trimming,curated_multi_source_evidence,high,False,,liu2014,yeast_inference,CWH41,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2U976,aor:AO090701000141,ko:K01228,
AOR00065,AO090005001276,AO090005001276,bhits|||,S1:67,,Addition of ceramides to GPI,machinery_component,gpi_biosynthesis,kegg_pathway,low,"Single mapped KEGG pathway; broad, low-confidence placement.",50.0,ER,subsystem_inference,medium,gpi_anchor,kegg_pathway,medium,False,,liu2014,unknown,CWH43,10.1186/1752-0509-8-73,exact,direct AO090 locus-tag match,False,Q2UQF1,aor:AO090005001276,ko:K27881,5990161
